"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"surv[7,51]",0.0013356556254281,0.00335883470328428,5.74000671868425e-08,2.21846213779224e-05,0.000202599777887341,0.0010122454513441,0.0101884956775443,1.15587023428968,18
"surv[7,52]",0.00110918412916715,0.00295420213215093,2.33625974348257e-08,1.39774939678268e-05,0.000142649991237294,0.000778192263338645,0.00870937412381037,1.15627300110739,18
"surv[7,53]",0.000921911417420463,0.00259908133665361,9.2275903198883e-09,8.69854286971685e-06,0.000100598210719674,0.000592010631397754,0.00743192498523727,1.15664164893082,18
"surv[7,54]",0.000766904285790968,0.00228699564180435,3.5573909598232e-09,5.35659943829307e-06,6.9070763713745e-05,0.000449948989906887,0.00634639889120457,1.15698725863796,18
"surv[7,55]",0.000638565829569309,0.00201314400034644,1.42784121776752e-09,3.25572906607422e-06,4.76377791253959e-05,0.000341673280904385,0.0054079963772491,1.15730662680023,18
"surv[7,56]",0.000532190844727624,0.0017725439377877,5.59190303353815e-10,1.9489992309005e-06,3.25692569764802e-05,0.000259974707566938,0.00459874332857475,1.15759957359083,18
"surv[7,57]",0.000443984008275997,0.00156136809777061,2.13434638353296e-10,1.12224991648726e-06,2.21048727659763e-05,0.000197674615262339,0.00390256475871549,1.15787163783246,18
"surv[7,58]",0.000370761268468438,0.00137596149113625,7.93838228164889e-11,6.47771836852728e-07,1.489e-05,0.000147669625689093,0.00330543565613371,1.15812196084548,18
"surv[7,59]",0.000309917737124537,0.00121282641482659,2.87766586342297e-11,3.76749751381109e-07,9.95794858392028e-06,0.000110095059324809,0.00279506898015457,1.15835421235361,18
"surv[7,60]",0.000259340101672528,0.00106972968813873,1.01637769824988e-11,2.12823063739929e-07,6.64499247554127e-06,8.09674025064929e-05,0.00236777458206733,1.15856982105018,18
"surv[7,61]",0.000217227576052741,0.000943749544928275,3.49478980966654e-12,1.19070861634536e-07,4.41098866468732e-06,6.00095763447786e-05,0.00202791373625973,1.15876943235671,18
"surv[7,62]",0.000182146566120316,0.000832959060217757,1.17021600955483e-12,6.49983269305956e-08,2.92649483170567e-06,4.41048969490091e-05,0.00170147181624583,1.1589514727685,18
