"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"surv[4,65]",0.0361991573319461,0.0526822520400636,1.07185562750531e-05,0.00188655494380056,0.0142048935230082,0.0478999968676039,0.186962352579933,1.14884428363528,19
"surv[4,66]",0.0355156275074451,0.0523014603436935,8.83156018383818e-06,0.00172793304705447,0.0135749548802197,0.0464024269650557,0.186239619961751,1.14906923958622,19
"surv[4,67]",0.0348575250358184,0.0519299658957282,7.27244913309581e-06,0.0015827895101844,0.0129699961449493,0.0450924898073317,0.185424402320421,1.14928801182559,19
"surv[4,68]",0.0342220855292934,0.0515658008373229,5.98733437203263e-06,0.00144798627206302,0.0124,0.0437299862710673,0.184609133694652,1.14949988956251,19
"surv[4,69]",0.0336087883515898,0.0512084335373,4.92762519937395e-06,0.00133003564601275,0.01183,0.0424124891629133,0.183709129397077,1.14970364022041,19
"surv[4,70]",0.0330168492919481,0.0508591492749939,4.05384670855357e-06,0.00122689293005901,0.0112849900310102,0.0411499854097397,0.18241930816621,1.14990237995735,19
"surv[4,71]",0.0324428644809631,0.0505133214544972,3.33460028434485e-06,0.00113629673202098,0.0107649709706994,0.0399199849598894,0.181129467255337,1.15009090089666,19
"surv[4,72]",0.0318900003265439,0.050178774987304,2.74254163389166e-06,0.00105242058438072,0.010269956182964,0.038857459180469,0.179842138578493,1.15027492300892,19
"surv[4,73]",0.031354571689023,0.0498499019147669,2.25444777840317e-06,0.000973295018944256,0.00980092633377069,0.0380199011942827,0.178649725169512,1.15045196614919,19
"surv[4,74]",0.030835509033024,0.049524187435799,1.85309164689893e-06,0.000894334468335224,0.00935640347569514,0.0372574937065043,0.177459823175214,1.1506224165531,19
"surv[4,75]",0.0303339740109947,0.0492080862997228,1.5223287266171e-06,0.000817954653403426,0.00893437899352832,0.0364172188066868,0.176269900005435,1.15078826143469,19
"surv[4,76]",0.029848138638699,0.0488985163235216,1.25001053175646e-06,0.00074666715887357,0.00851593606129121,0.0356219160691048,0.175079955319584,1.15094923820258,19
"surv[4,77]",0.0293767409237511,0.048592182070411,1.02705362408367e-06,0.000682106233166101,0.00810249875038559,0.0349070467607034,0.17388998876965,1.1511055898748,19
"surv[4,78]",0.0289205570369846,0.0482946732408018,8.43059493281074e-07,0.000627805522857807,0.00771898905297837,0.0342121631714975,0.172797499294436,1.15125525902804,19
"surv[4,79]",0.0284778937904601,0.048001326197637,6.87224558673121e-07,0.000576711359207671,0.00737449510136118,0.0335272641575084,0.171894997161875,1.15140181740534,19
"surv[4,80]",0.0280479883384356,0.0477128606156354,5.50840553485581e-07,0.000529873006417187,0.00706149219358062,0.0328698353151092,0.171184974312795,1.15154531507773,19
"surv[4,81]",0.02763088244304,0.0474303797957106,4.41229632709269e-07,0.000486817864046096,0.00676344409306383,0.0322249055648755,0.170377441864225,1.15168383911032,19
"surv[4,82]",0.0272269136390701,0.0471552070495063,3.53229752853162e-07,0.000447349924589423,0.00649393963630707,0.0315974497886713,0.16966737801211,1.15181550564151,19
"surv[4,83]",0.0268337991210869,0.0468834871667435,2.82565517666847e-07,0.000409096345304971,0.0062519864843104,0.0309799806159732,0.168959814225792,1.1519469756726,19
"surv[4,84]",0.0264515969100356,0.0466167457230354,2.25862415328316e-07,0.00037739746343798,0.00601249648648546,0.0303824972219934,0.168254763709079,1.15207204761027,19
"surv[4,85]",0.0260800758415684,0.0463543177474374,1.80527111209776e-07,0.000348674031119283,0.00576347915759223,0.0297774744726306,0.167262335117623,1.15219452835205,19
"surv[4,86]",0.0257194694740472,0.0460977319183515,1.44178521479354e-07,0.000322199813934187,0.0055174834843432,0.0292074919709369,0.166367375580356,1.15231527707265,19
"surv[4,87]",0.0253683822658364,0.0458447605135847,1.15021817510254e-07,0.000297649987404131,0.00529599962235648,0.0286324839430777,0.165472410503187,1.15243089254205,19
"surv[4,88]",0.0250264136647252,0.0455962483857568,9.17481592698402e-08,0.000274724723888558,0.00507749111274456,0.02795,0.164577439808291,1.15254315625121,19
