incremental_utility_cam,incremental_cost_cam,incremental_utility_niv,incremental_cost_niv,incremental_utility_sin,incremental_cost_sin,incremental_utility_tor,incremental_cost_tor,incremental_utility_pem,incremental_cost_pem,incremental_utility_tis,incremental_cost_tis
0.544929376,15292.8996,0.280225268,62908.77897,1.291288347,30535.1637,0.955149915,20527.6516,0.86058429,97885.49471,0.468818727,11875.24138
1.013631422,17698.39836,0.35378443,62755.10836,0.70948158,16761.1791,1.331483791,25745.62175,0.967698968,109441.9736,0.411326034,11018.86778
0.554036253,12613.08739,0.316804488,70077.94707,0.778104557,18360.41117,0.52643999,12430.13364,0.379887561,76090.5973,0.448964703,15183.46712
0.258440926,7494.544372,0.293878909,70280.94569,0.593366245,14780.7462,1.001525183,23335.21149,0.581215944,90277.679,0.509285318,15198.71905
0.215534766,8893.397089,0.309190932,68241.98976,0.587271111,14996.80795,0.390112364,11950.9778,0.521062901,82785.32208,0.263432545,11018.58566
1.013327076,25495.55294,0.263652139,68096.96157,0.721735971,20927.50318,0.768852286,20088.18999,0.281153791,91143.70425,0.842251586,22082.42004
0.174173201,8903.913853,0.301325895,68208.36235,0.895517261,22356.54201,0.599245143,15369.15839,0.156209028,83181.35888,0.421626877,13756.21205
1.048592838,20607.83901,0.345125273,63057.07219,0.776393597,18623.73775,0.629036358,13326.81365,1.022936696,67276.66432,0.340463084,10217.83467
0.393853633,8194.697561,0.296822193,58012.96795,0.619236342,14431.63658,0.383290779,8087.051556,0.428423965,90021.30482,0.072145888,3889.195212
0.626098904,13878.00714,0.318774314,66396.68391,0.844711601,19670.47703,0.64443099,12575.25901,0.425041091,86585.93722,0.803835612,18976.75749
0.35625265,11682.87039,0.294702242,74020.30574,0.089610376,7129.861237,1.753548282,40492.37412,-0.224695127,67170.33445,0.236364044,11625.3185
0.346247012,10860.44638,0.312280361,63506.57139,1.130275141,27416.14401,1.259120587,28936.85626,0.50238972,83176.54571,0.344117378,12357.38521
0.242304097,7796.748133,0.30048843,70440.96189,0.757845441,22143.07667,0.511860041,14617.64452,0.220153963,67809.17145,0.618108891,20000.89126
0.444067219,7511.764391,0.312274627,63752.41678,0.698429999,13535.68949,0.95855766,18769.05404,0.285311343,66533.51633,0.378361131,10224.87457
0.387311994,12429.75586,0.279951716,67803.04354,0.713283302,20836.5537,2.033153043,51118.57589,0.326894828,79772.18685,0.950608558,26877.37867
0.404897486,12069.74221,0.263937191,61213.52138,0.786636115,20967.03403,0.733841947,18828.89273,0.132805282,67515.43341,0.846181242,22496.08182
0.693636381,19624.6302,0.289702605,65379.90872,0.770431601,20939.39145,0.569342001,16463.24377,0.20151406,88268.05798,0.553932194,19428.57799
0.67865668,16660.47263,0.246317872,61333.21104,0.25470137,8276.473849,0.502068339,14230.50182,0.322187133,78880.67557,0.674834952,19303.27323
0.675798927,19232.70028,0.247482398,65931.53704,0.711376969,20761.24623,0.661591394,18933.85746,0.657166466,90816.27965,0.658877164,20016.0957
0.660574849,14962.03319,0.314006843,67280.30707,1.570745121,31274.21269,1.909593407,36062.6014,0.447842078,81692.27555,0.447894528,12947.82144
0.339129838,9667.988355,0.318066578,68301.81518,0.486153593,13404.42906,0.69044933,16324.2153,0.237248754,78858.90008,0.753751584,19111.46145
0.629432183,12576.72815,0.310137744,63937.70576,0.521800933,12318.39969,0.787280819,16152.22491,0.271157435,69374.92756,0.330633887,12370.3754
0.419874198,13643.59486,0.326070869,64154.67107,1.003651666,23161.4114,0.003363381,4561.625987,0.45490565,84675.49741,0.341938379,11896.52129
0.482940813,13656.06161,0.319627247,68642.52239,1.251809066,28555.5381,0.843420232,20605.27153,0.439119103,78560.67928,1.114878209,25665.1484
-0.008834782,5919.446491,0.249977867,60894.63268,0.249041297,13039.71859,0.414316174,12865.45978,0.244090188,72398.66196,0.599003001,18660.73212
0.831482371,22529.96946,0.292338858,71167.18198,0.882968299,22342.93126,1.315280113,30679.02857,0.585414723,103182.7073,0.67013527,18275.35348
0.768165273,18491.4941,0.279235103,67629.31965,0.655045761,18184.36904,1.672479647,37525.3507,-0.054391904,56972.47635,0.170017924,7216.85634
1.384613276,32760.64185,0.312978998,66883.42692,0.573474441,14957.11374,0.410084399,11382.64546,0.420996494,90724.26179,0.665462834,17578.64954
-0.004290967,4490.831585,0.280506226,63517.67525,0.703167614,19790.23202,0.435669328,13297.04805,-0.018811309,74188.99182,0.234212818,10147.7552
1.505664371,28293.29112,0.321386245,62847.56541,0.671090341,16204.40205,1.152153691,22749.31502,0.399572285,77846.78032,0.468487461,13166.4088
1.66912452,38869.77665,0.248324566,70474.59006,0.26636822,12223.4194,2.913300036,58522.04218,0.650224247,90189.4301,0.419993989,19414.68807
0.214242489,4523.07427,0.285051223,61410.87552,0.668547038,15505.86295,0.903620857,15032.0006,0.335941361,71844.62456,0.49320585,12043.33611
